name,synonym,path,
아주대,,PNG_204.png,
아주자동차대학,,PNG_205.png,
안동과학대학,,PNG_206.png,
안동대,,PNG_207.png,
안산대학,,PNG_208.png,
안양대,,PNG_209.png,
여주대학,,PNG_210.png,
연성대학,,PNG_211.png,
연세대,,PNG_212.png,
연암공업대학,,PNG_213.png,
영남대,,PNG_214.png,
영남신학대,,PNG_215.png,
영남외국어대학,,PNG_216.png,
영남이공대학,,PNG_217.png,
영동대,유원대학교,PNG_218.png,
영산대,,PNG_219.png,
영산선학대,,PNG_220.png,
영진전문대학,,PNG_221.png,
예수대,,PNG_222.png,
예원예술대,,PNG_223.png,
오산대학,,PNG_224.png,
용인대,,PNG_225.png,
용인송담대학,,PNG_226.png,
우석대,,PNG_227.png,
우송대,,PNG_228.png,
우송정보대학,,PNG_229.png,
UNIST,,PNG_230.png,
울산과학대학,,PNG_231.png,
울산대,,PNG_232.png,
웅지세무대학,,PNG_233.png,
원광대,,PNG_234.png,
위덕대,,PNG_235.png,
유한대학,,PNG_236.png,
육군사관학교,,PNG_237.png,
을지대,,PNG_238.png,
이화여대,,PNG_239.png,
인덕대학,,PNG_240.png,
인제대,,PNG_241.png,
인천가톨릭대,,PNG_242.png,
인천대,,PNG_243.png,
인천재능대학,,PNG_244.png,
인하공업전문대학,,PNG_245.png,
인하대,,PNG_246.png,
장로회신학대,,PNG_247.png,
장안대학,,PNG_248.png,
전남과학대학,,PNG_249.png,
전남대,,PNG_250.png,
전남도립대학,,PNG_251.png,
전북과학대학,,PNG_252.png,
전북대,,PNG_253.png,
전주교대,,PNG_254.png,
전주기전대학,,PNG_255.png,
전주대,,PNG_256.png,
전주비전대학,,PNG_257.png,
제주관광대학,,PNG_258.png,
제주국제대,,PNG_259.png,
제주대,,PNG_260.png,
제주한라대학,,PNG_261.png,
조선간호대학,,PNG_262.png,
조선대,,PNG_263.png,
조선이공대학,,PNG_264.png,
중부대,,PNG_265.png,
중앙대,,PNG_266.png,
중앙승가대,,PNG_267.png,
중원대,,PNG_268.png,
진주교대,,PNG_269.png,
진주보건대학,,PNG_270.png,
차의과학대,,PNG_271.png,
창신대,,PNG_272.png,
창원대,,PNG_273.png,
창원문성대학,,PNG_274.png,
천안연암대학,,PNG_275.png,
청강문화산업대학,,PNG_276.png,
청암대학,,PNG_277.png,
청운대,,PNG_278.png,
청주교대,,PNG_279.png,
청주대,,PNG_280.png,
초당대,,PNG_281.png,
총신대,,PNG_282.png,
추계예술대,,PNG_283.png,
춘천교대,,PNG_284.png,
춘해보건대학,,PNG_285.png,
충남대,,PNG_286.png,
충남도립청양대학,,PNG_287.png,
충북대,,PNG_288.png,
충북도립대학,,PNG_289.png,
충북보건과학대학,,PNG_290.png,
충청대학,,PNG_291.png,
침례신학대,,PNG_292.png,
칼빈대,,PNG_293.png,
평택대,,PNG_294.png,
포항공과대,,PNG_295.png,
포항대학,,PNG_296.png,
한경대,,PNG_297.png,
한국골프대학,,PNG_298.png,
한국과학기술원,,PNG_299.png,
한국관광대학,,PNG_300.png,
한국교원대,,PNG_301.png,
한국교통대,,PNG_302.png,
한국국제대,,PNG_303.png,
한국기술교대,,PNG_304.png,
한국뉴욕주립대,,PNG_305.png,
한국복지대학,,PNG_306.png,
한국산업기술대,,PNG_307.png,
한국성서대,,PNG_308.png,
한국승강기대학,,PNG_309.png,
한국영상대학,,PNG_310.png,
한국외대,,PNG_311.png,
한국체육대,,PNG_312.png,
한국항공대,,PNG_313.png,
한국해양대,,PNG_314.png,
한남대,,PNG_315.png,
한동대,,PNG_316.png,
한라대,,PNG_317.png,
한려대,,PNG_318.png,
한림대,,PNG_319.png,
한림성심대학,,PNG_320.png,
한밭대,,PNG_321.png,
한서대,,PNG_322.png,
한성대,,PNG_323.png,
한세대,,PNG_324.png,
한신대,,PNG_325.png,
한양대,,PNG_326.png,
한양여자대학,,PNG_327.png,
한영대학,,PNG_328.png,
한영신학대,,PNG_329.png,
한일장신대,,PNG_330.png,
한중대,,PNG_331.png,
해군사관학교,,PNG_332.png,
협성대,,PNG_333.png,
혜전대학,,PNG_334.png,
혜천대학,,PNG_335.png,
호남대,,PNG_336.png,
호남신학대,,PNG_338.png,
호산대,,PNG_339.png,
호서대,,PNG_340.png,
호원대,,PNG_341.png,
홍익대,,PNG_342.png,
건양사이버대학,,PNG_344.png,
경희사이버대학,,PNG_345.png,
고려사이버대학,,PNG_346.png,
국제사이버대학,,PNG_347.png,
글로벌사이버대학,,PNG_348.png,
대구사이버대학,,PNG_349.png,
디지털서울문화예술대학,,PNG_350.png,
부산디지털대학,,PNG_351.png,
사이버한국외국어대학,,PNG_352.png,
서울디지털대학,,PNG_353.png,
서울사이버대학,,PNG_354.png,
세종사이버대학,,PNG_355.png,
숭실사이버대학,,PNG_356.png,
열린사이버대학,,PNG_357.png,
원광디지털대학,,PNG_358.png,
한양사이버대학,,PNG_359.png,
화신사이버대학,,PNG_360.png,
영진사이버대학,,PNG_361.png,
한국복지사이버대학,,PNG_362.png,
한국폴리텍대학,,PNG_363.png,
한국예술종합학교,,PNG_364.png,
서울호서직업전문학교,,PNG_365.png,
한국방송통신대학교,,PNG_366.png,
한국IT전문학교,,PNG_367.png,
